Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
71	-424.0074	100.693924	-184.74663	-684.54517	79.0	-159.23718	76.93066	10.996569	-240.51271	720000	-0.061732985	3811.5894	-0.00029571028	-669.6532	0.60510826	3.4896075e-06	604.9897606372833
72	-433.68082	101.76972	-156.02832	-728.2049	79.0	-162.7016	77.29933	9.473516	-242.08745	730000	-0.058646172	3813.0164	-0.00019230787	-612.4408	0.6520741	1.6889331e-05	613.4225308895111
73	-423.63834	89.794106	-197.3877	-665.48346	79.0	-167.70155	77.45061	14.933067	-244.16086	740000	-0.044878848	3238.8481	-0.0001955498	-554.80865	0.6138358	8.110226e-05	622.2282547950745
74	-427.2851	99.06202	-212.80305	-780.36005	79.0	-162.02426	78.993004	7.4789	-245.66107	750000	-0.04750555	3398.8257	-0.00019126572	-510.57947	0.57615435	-2.5169214e-05	630.3509593009949
75	-440.92316	97.8862	-255.52696	-678.25323	79.0	-163.36546	77.14466	10.139445	-247.11797	760000	-0.034532018	3598.3345	-0.00011976552	-641.5838	0.57366073	5.0485505e-05	638.3831961154938
76	-429.9735	110.976814	-137.33029	-774.1039	79.0	-170.93597	79.232025	11.973043	-249.15611	770000	-0.057770547	3940.9514	-0.00035152258	-546.20667	0.5716704	6.337931e-05	646.4514124393463
77	-433.6512	97.787224	-219.52533	-694.5582	79.0	-166.29457	79.87425	11.549505	-250.99297	780000	-0.054997157	3450.021	-0.00031516724	-556.928	0.5867789	7.329817e-05	654.730562210083
78	-412.4205	102.69716	-122.36903	-750.32074	79.0	-164.979	83.22343	11.787165	-252.78535	790000	-0.035524294	3180.8792	-0.00026953162	-581.5472	0.5771831	0.00030376788	664.4733982086182
79	-438.68433	98.548996	-160.5131	-692.1715	79.0	-164.32759	77.594	3.8947887	-253.91957	800000	-0.02604038	3827.511	-0.00021049147	-747.5303	0.5493176	0.00018736746	672.9701945781708
80	-431.09808	108.829414	-158.99423	-786.978	79.0	-169.93602	82.82417	3.8081994	-255.80585	810000	-0.04870085	3782.5242	-0.00018843543	-515.2447	0.5473869	1.8746203e-05	682.3373856544495
81	-437.26575	96.77437	-167.38199	-681.9576	79.0	-168.00352	80.15093	7.0913205	-257.59695	820000	-0.013026172	3206.3447	8.082134e-05	-506.67407	0.5551589	-7.0722826e-06	690.5975241661072
82	-431.29044	99.19836	-132.57855	-708.25775	79.0	-173.2697	82.0103	10.657386	-259.15405	830000	-0.06580008	3620.8223	-4.4329092e-05	-721.94183	0.5203698	-1.5866644e-06	699.1043999195099
83	-420.73004	113.674446	-203.66484	-718.6731	79.0	-168.79193	83.68364	4.1759806	-260.92664	840000	-0.048014306	3739.5283	-0.00013422256	-561.98944	0.5322298	-3.6689882e-05	707.346982717514
84	-415.44247	107.89369	-179.40266	-726.2329	79.0	-165.50839	81.76712	6.5888753	-262.2941	850000	-0.021240182	3653.9333	-8.89902e-05	-658.81885	0.521665	5.1706447e-05	715.3640289306641
85	-439.78503	102.04381	-238.09798	-738.8692	79.0	-164.89584	84.19375	10.790493	-263.24173	860000	-0.018698761	3895.48	-0.00018161349	-779.78973	0.51909685	-3.0343943e-05	723.4683589935303
86	-425.2359	110.13065	-139.7825	-732.88525	79.0	-172.69807	83.45148	10.622171	-265.02634	870000	-0.041852616	3735.4883	-0.00017457036	-548.6639	0.48645097	-7.5952456e-05	731.6767089366913
87	-433.5906	92.89422	-219.71861	-692.50006	79.0	-170.4963	83.83117	10.273681	-266.17642	880000	-0.013432646	3162.4092	-0.00014469447	-687.6316	0.49216187	8.9054636e-05	740.6785311698914
88	-419.17044	98.62911	-207.77243	-655.4593	79.0	-173.73811	83.52473	8.9238405	-267.505	890000	-0.031602312	3384.5706	-6.5679895e-05	-565.4237	0.53307694	3.6141195e-05	748.908430814743
89	-444.43826	104.5333	-201.46179	-720.0863	79.0	-168.26437	83.396355	4.404496	-268.2799	900000	-0.041434646	3777.1426	-0.00010117912	-775.875	0.4707999	8.201552e-06	756.9503057003021
90	-445.95355	102.373535	-180.93327	-744.8235	79.0	-174.1324	87.529945	11.017632	-269.78833	910000	-0.016754294	3322.882	-0.00010826113	-490.82202	0.5109651	-4.704289e-05	765.0869152545929
91	-430.86813	108.74461	-177.34561	-678.50635	79.0	-173.2005	86.35816	9.22303	-271.64713	920000	-0.020423314	3750.979	-7.540267e-05	-746.6323	0.49184275	0.00010057248	773.2428905963898
92	-429.37262	103.58748	-170.51448	-682.4154	79.0	-170.0502	80.840164	8.629555	-273.02713	930000	-0.025090089	3691.1025	-8.871406e-05	-722.54553	0.5161053	5.6280922e-05	781.3957312107086
93	-416.19757	98.33166	-179.55072	-737.85406	79.0	-174.37727	84.37404	10.225933	-274.27924	940000	-0.031341754	3064.6401	-5.435315e-05	-617.72406	0.49271268	1.3883571e-05	789.4342844486237
94	-425.99765	109.34568	-138.07578	-784.0706	79.0	-165.43948	83.9632	17.307455	-275.16605	950000	-0.020084118	3579.4358	-8.028094e-05	-698.2821	0.5231528	9.168018e-05	798.0616805553436
95	-428.21558	105.49754	-182.77452	-714.1792	79.0	-170.36412	85.693794	13.840997	-276.4115	960000	-0.03991291	3501.5796	-9.038678e-05	-631.8412	0.5037218	6.0665145e-05	806.2353179454803
96	-428.4966	100.66141	-214.26796	-708.7095	79.0	-169.28716	83.2631	4.9142337	-277.48996	970000	-0.025503082	3325.9197	-0.00018100487	-592.08344	0.5023668	0.00010073757	814.3627045154572
97	-411.95782	117.50099	-163.56107	-739.1164	79.0	-173.11008	87.06745	13.4459	-278.37976	980000	-0.017441265	4097.067	-0.0001428636	-783.9939	0.48271856	-1.3214022e-05	822.4535641670227
98	-439.78937	112.967384	-229.59998	-760.179	79.0	-169.04884	84.63576	10.596338	-278.85016	990000	-0.0044349134	4173.86	-5.3494354e-05	-980.48785	0.46152046	-2.0120246e-05	830.5355117321014
99	-429.95364	99.66387	-236.5338	-703.24164	79.0	-175.0199	87.03279	12.928051	-280.69965	1000000	-0.043972366	3625.0898	-5.8043282e-05	-742.549	0.44322932	-3.5355788e-06	838.6936473846436
100	-425.7294	102.78741	-221.21466	-693.28455	79.0	-169.88753	85.40136	5.7771864	-281.7513	1010000	-0.008425975	3446.8254	-9.849202e-05	-537.7521	0.47036853	7.496482e-05	847.2189073562622
101	-419.80768	96.73066	-215.61159	-644.9619	79.0	-169.82867	86.77926	12.315399	-282.83618	1020000	0.0019557034	3091.12	-9.447336e-06	-653.5432	0.47331548	1.4684625e-05	855.5544526576996
102	-424.65756	106.69837	-204.449	-743.3658	79.0	-171.09207	85.952255	6.7327003	-283.57004	1030000	-0.013105334	3854.706	-0.00012231781	-773.849	0.4529066	-6.811241e-05	863.9997539520264
103	-405.9713	102.422676	-149.77353	-652.91254	79.0	-168.7021	86.17947	21.381237	-284.71094	1040000	0.009862362	3627.6958	-0.00019273371	-994.00946	0.45959148	4.420533e-05	872.3421857357025
104	-436.45587	113.153145	-186.03409	-727.123	79.0	-168.15895	84.44435	4.370016	-285.4064	1050000	-0.016245998	4104.751	-5.4209726e-05	-795.8144	0.43493184	3.8674487e-05	880.435332775116
105	-427.40417	116.27707	-191.61266	-756.248	79.0	-170.343	89.77815	9.894363	-286.97058	1060000	-0.013060807	3506.998	-7.2410796e-05	-640.16125	0.44618106	-3.9934726e-05	888.5848264694214
106	-419.478	114.93556	-183.68289	-714.7053	79.0	-169.66945	88.87424	15.741194	-288.17154	1070000	-0.011002041	3594.5347	-8.9131296e-05	-636.498	0.44371614	-3.3999222e-05	896.6169264316559
107	-427.77502	107.24228	-156.89491	-705.4169	79.0	-163.73912	84.67838	7.823639	-288.99188	1080000	-0.014173677	3554.1062	-0.00013937242	-659.03314	0.45321745	7.020435e-05	904.7378835678101
108	-416.84714	99.026535	-150.12938	-660.1417	79.0	-173.1154	89.07666	8.342739	-290.46277	1090000	-0.027437042	3347.2747	-5.4802746e-05	-752.84924	0.4564372	-8.913738e-05	912.9572484493256
109	-428.75696	107.794716	-149.779	-698.8657	79.0	-166.8582	86.56598	7.375375	-291.21487	1100000	0.002290897	3711.1504	-1.7895713e-05	-758.5258	0.4733709	2.7701486e-05	921.4939229488373
110	-432.14374	107.312065	-214.85095	-673.18756	79.0	-170.55998	86.722046	4.572462	-292.0971	1110000	-0.011168637	3779.6743	-0.00014421553	-738.43835	0.4619006	5.118791e-05	929.5879454612732
111	-440.7221	107.43275	-206.35373	-705.4629	79.0	-178.23904	88.43918	3.7012205	-293.3775	1120000	-0.018132132	3353.3735	-0.00011721533	-513.04034	0.4651993	0.000109763634	937.6139736175537
112	-418.90414	98.95869	-215.23943	-738.0525	79.0	-177.33875	87.037346	11.818218	-294.6313	1130000	-0.00588585	3283.8782	-7.617567e-05	-493.20288	0.4524125	-2.275652e-05	945.7374188899994
113	-413.65738	102.718414	-157.87341	-651.41516	79.0	-170.18707	86.09807	8.931253	-295.32446	1140000	-0.026305415	2934.5015	-6.218115e-05	-490.432	0.46133894	7.211752e-05	953.9433481693268
114	-409.3306	105.03871	-172.94936	-628.44196	79.0	-166.91196	84.00832	8.865274	-295.67447	1150000	-0.019838758	3206.2542	-5.248119e-05	-645.1474	0.43000108	-6.447259e-05	962.2532737255096
115	-411.18726	113.11065	-137.53854	-726.2504	79.0	-164.67015	84.761505	5.9182043	-297.31613	1160000	-0.0030038264	3544.2998	-8.907699e-05	-697.7401	0.46536115	2.9607854e-06	970.265962600708
116	-416.61185	85.73496	-212.79935	-654.1992	79.0	-166.50012	83.84345	9.801008	-298.04514	1170000	0.0060592666	3035.3608	-8.904538e-05	-641.766	0.43906146	-1.991872e-05	978.9577329158783
117	-420.195	101.00557	-201.41617	-808.25183	79.0	-168.34282	84.152016	8.383915	-297.20584	1180000	0.005915822	3223.2131	-8.4747626e-05	-673.95526	0.43306234	7.226899e-05	987.3622748851776
118	-426.27417	115.54326	-106.82392	-724.88635	79.0	-164.81013	84.326904	5.6944737	-299.08078	1190000	-0.011832137	4288.79	-0.00012035837	-863.11414	0.44971734	-1.4571058e-05	995.3116011619568
119	-421.8821	108.07946	-195.3157	-723.905	79.0	-172.86874	88.91242	9.738148	-299.6014	1200000	-0.02300164	3878.9373	-0.0002518408	-684.62476	0.4683721	-8.794354e-05	1003.4193336963654
120	-434.6841	108.575745	-202.53317	-716.93115	79.0	-169.8938	86.74833	13.27795	-300.3395	1210000	0.006526864	4087.9963	-5.3521566e-05	-755.94403	0.45349187	5.4482683e-05	1012.022251367569
121	-413.08197	105.72035	-136.11966	-684.25446	79.0	-176.50034	89.72304	13.068669	-301.88235	1220000	0.008795296	3610.9963	-0.00021803426	-703.0225	0.47092706	1.0278163e-06	1020.6004047393799
122	-430.27454	113.24706	-178.37439	-698.45856	79.0	-171.02303	84.83275	9.866895	-302.53372	1230000	0.0016315561	4156.496	-8.6534536e-05	-956.6122	0.47362694	8.359893e-06	1029.171611070633
123	-435.64832	112.9599	-181.62921	-730.7908	79.0	-179.90855	91.192924	13.454357	-303.31696	1240000	0.0060722623	3810.7056	-0.00022022556	-751.86865	0.45773453	7.56772e-06	1038.6440296173096
